,No ezafe & Head Final
num_dependents_head,0.283093505407282
num_dependents_modifier,0.1767811758857108
np_depth,0.07325597361418926
distance,0.06001877303926334
nominal_head_deprel_nsubj,0.045518326346920726
modifier_deprel_appos,0.042701582889099594
has_anchor_dependent,0.04116620888198822
relative_position_in_sent,0.03209203146747148
nmod_count,0.03166673173967596
modifier_deprel_flat,0.02279460331258229
