,With ezafe & Head Final
num_dependents_head,0.22305085377840744
num_dependents_modifier,0.17416412258822195
np_depth,0.10007789805391343
has_anchor_dependent,0.07238437486423627
distance,0.05498305992427492
relative_position_in_sent,0.041853099934584886
modifier_deprel_appos,0.03978751906123009
nominal_head_deprel_nsubj,0.03562892361428547
nmod_count,0.03159543550875526
modifier_upos_PRON,0.0262521947170842
