,No ezafe & Head Initial,No ezafe & Head Final,With ezafe & Head Initial,With ezafe & Head Final
No ezafe & Head Initial,0.9999999999999999,0.9621489621489621,0.9481074481074481,0.9816849816849815
No ezafe & Head Final,0.9621489621489621,0.9999999999999999,0.9139194139194139,0.9584859584859584
With ezafe & Head Initial,0.9481074481074481,0.9139194139194139,0.9999999999999999,0.9426129426129425
With ezafe & Head Final,0.9816849816849815,0.9584859584859584,0.9426129426129425,0.9999999999999999
