,nominal_head_upos_NOUN,nominal_head_upos_PRON,nominal_head_upos_PROPN,nominal_head_deprel_acl:relcl,nominal_head_deprel_conj,nominal_head_deprel_nmod,nominal_head_deprel_nsubj,nominal_head_deprel_obj,nominal_head_deprel_obl,nominal_head_deprel_vocative,modifier_upos_ADJ,modifier_upos_NOUN,modifier_upos_PRON,modifier_upos_PROPN,modifier_deprel_amod,modifier_deprel_appos,modifier_deprel_flat,modifier_deprel_nmod,distance,np_depth,num_dependents_head,num_dependents_modifier,has_anchor_dependent,modifier_is_propn,relative_position_in_sent,nmod_count,amod_count
No ezafe & Head Initial,0.01164894117804971,0.0056903284699775,0.009620196349971842,0.004223160155713331,0.006048590542846125,0.007611919347122597,0.03336307528321949,0.013082064010800198,0.017615542542314302,0.004681787006771289,0.010733296856439083,0.014400975347920428,0.018515883999893915,0.008369431098596879,0.016729644179506398,0.04678526894064806,0.015587917290082166,0.026738392399964207,0.08804642824625135,0.08096423475317215,0.24486920777514667,0.16637312407400376,0.04973315022067223,0.00793932658254489,0.033219155189747315,0.03893883678229924,0.01847012137632475
No ezafe & Head Final,0.0067751086700061575,0.0026562785136479104,0.006171552277264826,0.005322041491487501,0.006200904965219511,0.008073293547890829,0.045518326346920726,0.01812504366061272,0.022106692044374803,0.0050600561826954155,0.008908864889516152,0.01187663579634335,0.01946190764834554,0.007920262138973937,0.014496588873798,0.042701582889099594,0.02279460331258229,0.02249221602626606,0.06001877303926334,0.07325597361418926,0.283093505407282,0.1767811758857108,0.04116620888198822,0.0070451401029242074,0.03209203146747148,0.03166673173967596,0.01821850058644918
With ezafe & Head Initial,0.01017521532006797,0.004686498940780615,0.007521447548821355,0.002726460455390823,0.007289222657264843,0.011939705211901306,0.019205660100277744,0.010906352816895634,0.01275068995493284,0.00504309959221448,0.010345761420539374,0.01590495493969755,0.01429531262112862,0.009677168339846682,0.015141855505548635,0.03971116710882353,0.007890701906358476,0.020564121938925976,0.09776089264387493,0.1095611924082233,0.17731549004986774,0.19331359666456926,0.1060268191395222,0.008675276716507708,0.031696226868308315,0.03554519471290829,0.01432991441680171
With ezafe & Head Final,0.010193032850867608,0.0040512380369613805,0.008732758321545612,0.002704309526830988,0.00945694116672764,0.008682140666157556,0.03562892361428547,0.012104967676571966,0.019766004401777223,0.006621728058128449,0.010437782842826693,0.01835838983228735,0.0262521947170842,0.00833513141028527,0.013765818847346872,0.03978751906123009,0.016156542839412445,0.02231898451487851,0.05498305992427492,0.10007789805391343,0.22305085377840744,0.17416412258822195,0.07238437486423627,0.008051645832978727,0.041853099934584886,0.03159543550875526,0.020485101129422034
