,With ezafe & Head Initial
num_dependents_modifier,0.19331359666456926
num_dependents_head,0.17731549004986774
np_depth,0.1095611924082233
has_anchor_dependent,0.1060268191395222
distance,0.09776089264387493
modifier_deprel_appos,0.03971116710882353
nmod_count,0.03554519471290829
relative_position_in_sent,0.031696226868308315
modifier_deprel_nmod,0.020564121938925976
nominal_head_deprel_nsubj,0.019205660100277744
