,No ezafe & Head Initial
num_dependents_head,0.24486920777514667
num_dependents_modifier,0.16637312407400376
distance,0.08804642824625135
np_depth,0.08096423475317215
has_anchor_dependent,0.04973315022067223
modifier_deprel_appos,0.04678526894064806
nmod_count,0.03893883678229924
nominal_head_deprel_nsubj,0.03336307528321949
relative_position_in_sent,0.033219155189747315
modifier_deprel_nmod,0.026738392399964207
