Class,Feature,Importance,Mean_SHAP_Active,Mean_SHAP_Overall,Direction
No ezafe & Head Final,num_dependents_modifier,0.1782643777728226,-0.07967201269453704,0.06037448088881514,Negative
No ezafe & Head Final,has_anchor_dependent,0.1554253250514269,-0.043817359366115215,0.03626166330290059,Negative
No ezafe & Head Final,np_depth,0.1097973811684453,0.00448623705248161,0.00448623705248161,Positive
No ezafe & Head Final,num_dependents_head,0.059277001980520105,0.0037227051761170213,0.0037227051761170213,Positive
No ezafe & Head Final,relative_position_in_sent,0.057032435692532815,0.001658905811566435,0.0017281193379690106,Positive
No ezafe & Head Final,distance,0.04038678982600261,0.01162862228198121,0.0011860202665332296,Positive
No ezafe & Head Final,nmod_count,0.034369714663065314,0.010442405651444223,0.0021720677919934684,Positive
No ezafe & Head Final,modifier_deprel_appos,0.02463754746430066,-0.09700478814869731,0.00075594291639821,Negative
No ezafe & Head Final,modifier_upos_NOUN,0.021266888330174368,-0.0019698255802315,0.00022929856832140904,Negative
No ezafe & Head Final,modifier_deprel_nmod,0.020892775570415748,0.011190736970872127,-0.0013281601309592115,Positive
No ezafe & Head Final,amod_count,0.020579148208411297,0.018257490675543546,0.00199434550518601,Positive
No ezafe & Head Final,nominal_head_deprel_nmod,0.019637440094579527,0.009012053307933074,0.0009452315651197782,Positive
No ezafe & Head Final,modifier_upos_PRON,0.018872771377959043,0.034710036299064655,-0.0019097717226711048,Positive
No ezafe & Head Final,head_feats,0.017720228879130318,0.01680975831139029,0.00013853565598152058,Positive
No ezafe & Head Final,nominal_head_consonant_ending,0.016198547678941615,0.002420724229205457,0.0006255155510038451,Positive
No ezafe & Head Final,modifier_is_plural,0.01553810452548442,-0.006517004114165692,0.0008636273093758053,Negative
No ezafe & Head Final,modifier_deprel_flat,0.014908465262286532,-0.1052330167531049,0.001319603133747823,Negative
No ezafe & Head Final,modifier_deprel_amod,0.014806622796245462,0.02460180183901473,9.26641544166596e-05,Positive
No ezafe & Head Final,nominal_head_deprel_conj,0.014383193146060493,-0.01387132036896505,0.0008656019823863288,Negative
No ezafe & Head Final,modifier_consonant_ending,0.014284839384009644,0.0012189846845668726,0.0005865238732441719,Positive
No ezafe & Head Final,nominal_head_upos_NOUN,0.013585842255308789,0.0025464113820907286,0.0003942409550073285,Positive
No ezafe & Head Final,nominal_head_deprel_obl,0.012369079395551244,-0.0050080632566381345,0.0002964935314365413,Negative
No ezafe & Head Final,modifier_feats,0.01210496014648484,0.0044378624372033194,-3.230262617289748e-05,Positive
No ezafe & Head Final,nominal_head_deprel_nsubj,0.011898245705650765,0.004980053082805022,0.00034247563662080963,Positive
No ezafe & Head Final,head_is_plural,0.010893573713705315,0.02207607537251252,0.00024401755135272508,Positive
No ezafe & Head Final,nominal_head_deprel_obj,0.010567316643423235,-0.009977751448787537,0.00037943876940721807,Negative
No ezafe & Head Final,modifier_upos_ADJ,0.009980958338925185,-0.004299177797979213,0.0018422239829475045,Negative
No ezafe & Head Final,nominal_head_upos_PROPN,0.009545176209210474,-0.005226574771741898,0.0006652514319247611,Negative
No ezafe & Head Final,modifier_is_propn,0.008769218020033455,-0.018582554516548114,0.001397509987132375,Negative
No ezafe & Head Final,modifier_upos_PROPN,0.008375521158890073,-0.017763015952972933,0.0012285268808239188,Negative
No ezafe & Head Final,ezafe_like_lemma_between,0.006708046464656332,0.01065561383348016,0.00032168884111507656,Positive
No ezafe & Head Final,nominal_head_deprel_vocative,0.004156112215785403,0.057173902183707395,-0.0007036682017999348,Positive
No ezafe & Head Final,nominal_head_deprel_acl:relcl,0.003878236926583907,0.013302600240648676,-0.00015369625443617735,Positive
No ezafe & Head Final,nominal_head_ī,0.0035512239354637586,0.020217091321952537,0.00016399896153617886,Positive
No ezafe & Head Final,nominal_head_upos_PRON,0.00341787140239561,-0.008687618738351454,0.0001428567643311218,Negative
No ezafe & Head Final,nominal_head_deprel_dislocated:topic,0.0019190185951168752,0.0005658992284679064,0.0001499998473870725,Positive
No ezafe & Head Initial,num_dependents_modifier,0.1721510506951995,-0.03733521654816316,0.031633043897415135,Negative
No ezafe & Head Initial,has_anchor_dependent,0.16223330990130394,-0.050296657098855016,0.03986717869004561,Negative
No ezafe & Head Initial,np_depth,0.10319319475225915,-0.0006427574291457408,-0.0006427574291457408,Negative
No ezafe & Head Initial,num_dependents_head,0.062207287136684206,0.001930307211173036,0.001930307211173036,Positive
No ezafe & Head Initial,distance,0.06103731468600682,0.11538263424531078,-0.0006001429162317343,Positive
No ezafe & Head Initial,relative_position_in_sent,0.05258253192423279,0.0006131944395000197,0.0003089595923582294,Positive
No ezafe & Head Initial,nmod_count,0.0366206755861922,-0.009802785801166622,0.0017660485317063108,Negative
No ezafe & Head Initial,modifier_deprel_appos,0.025777524282136848,0.23304279868402328,0.0013155655195643877,Positive
No ezafe & Head Initial,amod_count,0.02297333999069239,-0.03923075664328609,-0.002017542458547744,Negative
No ezafe & Head Initial,modifier_deprel_nmod,0.022501787256549242,-0.015333723260573227,0.006773006075303832,Negative
No ezafe & Head Initial,modifier_upos_NOUN,0.021046949459149023,0.023327894877650236,0.00277159296206063,Positive
No ezafe & Head Initial,nominal_head_deprel_nmod,0.02084576205315362,-0.018304621407776292,0.0015477017259538182,Negative
